sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
sector 56,flat,professors enclave cghs,1.55,7750.0,2000.0,Super Built up area 2000(185.81 sq.m.),3,3,3+,6.0,East,Moderately New Property,2000.0,,,1,0,0,0,0,0,49
sector 76,flat,whiteland blissville,1.9,11363.0,1672.0,Super Built up area 1672(155.33 sq.m.),3,3,2,0.0,Na,Under Construction,1672.0,,,0,0,0,0,0,1,61
sector 86,flat,dlf the skycourt,1.5,7776.0,1929.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1330 sq.ft. (123.56 sq.m.),3,3,1,15.0,South-East,Relatively new property,1929.0,1550.0,1330.0,0,0,0,0,0,1,159
sohna road,flat,breez global heights,0.28,7142.0,392.0,Carpet area: 399 (37.07 sq.m.),1,1,1,4.0,Na,New Property,,,399.0,0,0,0,0,0,2,26
sector 2,flat,bestech park view residency,1.4,7865.0,1780.0,Super Built up area 1780(165.37 sq.m.),3,3,3+,6.0,North,Old Property,1780.0,,,0,0,0,0,0,2,107
sector 48,flat,belgravia resort residences,3.45,18459.0,1869.0,Built Up area: 1869 (173.64 sq.m.),3,3,3,14.0,West,Undefined,,1869.0,,0,0,0,0,0,1,0
sector 28,flat,suncity platinum towers,7.0,22222.0,3150.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 1913 sq.ft. (177.72 sq.m.),4,3,2,10.0,North,Moderately New Property,3150.0,,1913.0,1,0,0,0,0,1,31
sector 63a,house,birla navya,3.85,15437.0,2494.01,Carpet area: 2494 (231.7 sq.m.),3,3,3+,4.0,Na,New Property,,,2494.0,1,0,0,0,0,0,160
sector 79,flat,godrej aria,1.3,9622.0,1351.0,Super Built up area 1351(125.51 sq.m.),2,4,2,3.0,East,Relatively new property,1351.0,,,0,0,0,0,0,1,53
sector 102,flat,shapoorji pallonji joyville gurugram,2.12,16960.0,1250.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,Na,Relatively new property,,1852.0,1250.0,0,0,0,0,0,1,72
sector 113,flat,tata gurgaon gateway,2.45,10786.0,2271.0,Super Built up area 2225(206.71 sq.m.),3,3,3,8.0,North,Relatively new property,2225.0,,,0,0,0,0,0,1,110
sector 66,flat,emaar mgf the palm drive,1.51,15130.0,998.0,Super Built up area 1200(111.48 sq.m.)Built Up area: 1188 sq.ft. (110.37 sq.m.)Carpet area: 998 sq.ft. (92.72 sq.m.),2,2,2,5.0,North,Relatively new property,1200.0,1188.0,998.0,0,0,0,1,0,0,82
sector 69,flat,tulip purple,1.8,9000.0,2000.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4,5,3+,4.0,North-East,Relatively new property,2400.0,2200.0,2000.0,1,0,0,0,0,1,165
sector 113,flat,la vida by tata housing,1.35,13989.0,965.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1090 sq.ft. (101.26 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),2,2,3,10.0,North-East,New Property,1276.0,1090.0,965.0,0,0,0,0,0,1,174
sector 86,flat,dlf the skycourt,1.55,8031.0,1930.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,1,12.0,North-East,Relatively new property,1930.0,1900.0,1350.0,0,0,0,1,0,0,153
sohna road,flat,breez global heights,0.21,5329.0,394.0,Carpet area: 394 (36.6 sq.m.),1,1,1,2.0,Na,Relatively new property,,,394.0,0,0,0,0,0,1,21
sector 25,house,independent,13.0,45710.0,2844.02,Plot area 316(264.22 sq.m.),6,8,3+,,Na,Relatively new property,,2844.0,,1,1,0,1,1,2,0
sector 65,flat,m3m golfestate,5.2,17455.0,2979.0,Super Built up area 2979(276.76 sq.m.),3,3,3,18.0,North,Relatively new property,2979.0,,,1,1,0,0,0,0,76
sector 109,house,international city by sobha phase 2,9.4,26111.0,3600.02,Plot area 400(334.45 sq.m.),5,6,3+,2.0,North-East,Relatively new property,,3600.0,,1,1,0,1,1,0,147
sohna road,flat,hcbs sports ville,0.35,4.0,875000.0,Built Up area: 737147 (68483.2 sq.m.),2,2,2,8.0,Na,Relatively new property,,737147.0,,0,0,0,0,0,2,44
sector 85,flat,ss the leaf,2.3,8179.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,4,3+,8.0,South,Relatively new property,2812.0,,,1,0,0,0,0,1,21
sector 95,flat,ramsons kshitij,0.29,5178.0,560.0,Super Built up area 560(52.03 sq.m.),2,2,2,14.0,Na,Relatively new property,560.0,,,0,0,0,0,0,1,50
sector 109,house,international city by sobha phase 2,11.3,25111.0,4500.02,Plot area 500(418.06 sq.m.)Built Up area: 480 sq.yards (401.34 sq.m.)Carpet area: 460 sq.yards (384.62 sq.m.),7,5,3+,4.0,East,Relatively new property,,480.0,460.0,1,1,1,1,0,1,49
sector 85,flat,orris aster court premier,1.49,5820.0,2560.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),4,5,3+,10.0,East,Relatively new property,2560.0,2017.0,1890.0,1,0,0,0,0,0,84
sector 28,flat,suncity platinum towers,6.2,23091.0,2685.0,Super Built up area 2685(249.44 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3+,21.0,South,Relatively new property,2685.0,2000.0,1900.0,1,0,0,0,0,0,160
sector 12,house,independent,3.5,133079.0,263.0,Plot area 263(24.43 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 4400 sq.ft. (408.77 sq.m.),8,8,3+,3.0,South-East,Relatively new property,,4800.0,4400.0,1,1,0,1,0,2,77
sector 108,flat,experion the heartsong,0.98,13343.0,734.0,Built Up area: 978.23 (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,12.0,South-East,Relatively new property,,978.2232319999999,734.43,1,1,0,1,1,1,31
sector 86,flat,ansal height 86,0.8,5882.0,1360.0,Built Up area: 1360 (126.35 sq.m.),2,2,0,1.0,Na,Undefined,,1360.0,,0,0,0,0,0,1,0
sector 2,house,independent,4.99,18889.0,2641.75,Plot area 270(225.75 sq.m.),4,4,3+,3.0,North,Moderately New Property,,270.0,,1,0,0,1,1,1,43
sohna road,flat,mvn athens,0.25,5198.0,481.0,Built Up area: 481 (44.69 sq.m.),2,2,0,0.0,Na,Relatively new property,,481.0,,0,0,0,0,0,1,37
sector 82,flat,mapsko casa bella,1.3,6378.0,2038.0,Super Built up area 1960(182.09 sq.m.),4,4,3+,1.0,North,Relatively new property,1960.0,,,1,0,0,0,0,1,130
sector 102,flat,adani m2k oyster grande,2.6,10007.0,2598.0,Super Built up area 2598(241.36 sq.m.),3,3,3,2.0,North-East,Relatively new property,2598.0,,,1,1,0,0,1,1,118
sector 92,flat,sare crescent parc,0.71,4933.0,1439.0,Carpet area: 1436 (133.41 sq.m.),3,3,2,6.0,Na,Relatively new property,,,1436.0,0,0,0,0,0,1,37
sector 4,house,not applicable,0.65,13000.0,500.0,Plot area 500(46.45 sq.m.),2,1,1,3.0,East,Moderately New Property,,500.0,,0,0,0,0,0,1,7
sector 79,flat,mapsko mount ville,1.1,12732.0,864.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,22.0,South-West,Relatively new property,1490.0,,863.91,0,1,0,1,0,1,135
sector 81,flat,bestech park view ananda,1.45,8734.0,1660.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3,2,3+,3.0,Na,Relatively new property,1660.0,,1082.0,0,0,1,0,0,1,45
sector 79,flat,mapsko mount ville,1.3,8024.0,1620.0,Super Built up area 1620(150.5 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3+,1.0,North-East,Relatively new property,1620.0,,863.91,0,0,0,0,0,0,140
sector 81,flat,dlf the ultima,2.25,10755.0,2092.0,Super Built up area 2092(194.35 sq.m.)Built Up area: 2090 sq.ft. (194.17 sq.m.)Carpet area: 2087 sq.ft. (193.89 sq.m.),3,4,3+,11.0,West,Relatively new property,2092.0,2090.0,2087.0,1,0,0,0,0,2,174
sector 74,flat,m3m skywalk,2.45,12140.0,2018.0,Super Built up area 2018(187.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1614 sq.ft. (149.95 sq.m.),3,3,3+,25.0,South-West,Relatively new property,2018.0,1800.0,1614.0,0,1,0,0,0,1,137
sector 54,flat,dlf park place,5.75,24688.0,2329.0,Super Built up area 2329(216.37 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3,12.0,North-East,Relatively new property,2329.0,1900.0,1700.0,1,0,0,0,0,2,174
sector 113,flat,la vida by tata housing,1.85,11716.0,1579.0,Super Built up area 1579(146.69 sq.m.),3,2,2,7.0,East,New Property,1579.0,,,0,0,0,0,0,1,13
sector 88a,flat,adani aangan arcade,0.45,7200.0,625.0,Carpet area: 625 (58.06 sq.m.),2,2,1,3.0,Na,New Property,,,625.0,0,0,0,0,0,1,14
sector 95,flat,rof ananda,0.31,5644.0,549.0,Carpet area: 549.16 (51.02 sq.m.),2,2,1,5.0,North,Relatively new property,,,549.174178,0,0,0,1,0,0,74
sector 66,house,emaar mgf marbella,18.0,40000.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3+,3.0,North-East,Relatively new property,,4500.0,,1,1,0,1,1,2,153
sector 36,flat,breez global heights,0.24,5825.0,412.0,Carpet area: 412 (38.28 sq.m.),1,1,1,8.0,Na,New Property,,,412.0,0,0,0,0,0,1,57
sector 2,flat,bestech park view residency,1.59,8281.0,1920.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,11.0,North-West,Moderately New Property,1920.0,,,1,0,0,0,0,1,100
sector 69,flat,tulip violet,1.5,10714.0,1400.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,8.0,North-East,Relatively new property,1578.0,,1400.0,0,0,0,1,0,0,174
sector 81,flat,bestech park view grand spa,2.4,9022.0,2660.0,Super Built up area 2660(247.12 sq.m.),3,4,3+,8.0,North,New Property,2660.0,,,1,1,0,0,0,0,167
sector 113,flat,la vida by tata housing,2.78,11346.0,2450.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2599 sq.ft. (241.46 sq.m.)Carpet area: 2450 sq.ft. (227.61 sq.m.),3,3,3,3.0,North,New Property,2690.0,2599.0,2450.0,1,1,0,0,0,1,174
sector 71,flat,chd avenue,1.4,7945.0,1762.0,Carpet area: 1762 (163.7 sq.m.),3,3,2,1.0,South-East,Moderately New Property,,,1762.0,0,0,0,1,0,0,125
sector 102,flat,shapoorji pallonji joyville,1.1,12022.0,915.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,1,7.0,Na,Undefined,,915.0,700.0,0,0,0,0,0,1,0
sector 111,flat,puri diplomatic greens,3.45,11694.0,2950.0,Super Built up area 2950(274.06 sq.m.),4,5,3+,9.0,North-East,Relatively new property,2950.0,,,1,0,0,0,0,1,68
sector 12,flat,krishna appartment,0.35,3500.0,1000.0,Super Built up area 1000(92.9 sq.m.),3,3,1,2.0,Na,Old Property,1000.0,,,0,0,0,0,0,1,0
sector 33,house,unitech uniworld resorts,11.0,26667.0,4124.95,Plot area 500(418.06 sq.m.),5,6,3,3.0,Na,New Property,,500.0,,1,1,0,0,0,1,58
sector 37c,flat,corona optus,1.5,6361.0,2358.0,Super Built up area 2358(219.07 sq.m.),3,4,3+,14.0,North-East,New Property,2358.0,,,1,0,1,0,0,1,83
sector 86,flat,pyramid urban homes 2,0.5,9615.0,520.0,Carpet area: 520 (48.31 sq.m.),2,2,1,10.0,Na,Relatively new property,,,520.0,0,0,0,0,0,1,15
sector 56,flat,the lions cghs,2.05,9534.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,4,3,7.0,West,Relatively new property,2150.0,2000.0,1950.0,1,0,1,0,0,0,49
sohna road road,house,independent,6.25,6944.0,9000.58,Plot area 1000(836.13 sq.m.),3,3,0,1.0,Na,Moderately New Property,,9000.0,,0,0,0,0,0,1,0
sector 77,flat,emaar mgf palm hills,1.25,8620.0,1450.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3,4,3,3.0,North,Relatively new property,1450.0,,1177.0,1,1,0,0,0,1,49
sector 81,flat,dlf the ultima,2.34,11185.0,2092.0,Super Built up area 2092(194.35 sq.m.)Built Up area: 1760 sq.ft. (163.51 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3+,14.0,South-East,Relatively new property,2092.0,1760.0,1670.0,1,0,0,0,0,2,174
sector 2,house,independent,2.55,16378.0,1556.97,Plot area 173(144.65 sq.m.),3,3,2,2.0,South,Old Property,,1557.0,,0,0,0,0,0,1,8
sector 92,flat,bestech park view sanskruti,1.5,7812.0,1920.0,Super Built up area 1920(178.37 sq.m.),3,3,3,3.0,East,Relatively new property,1920.0,,,0,0,1,0,0,1,49
sector 57,house,ansals florence villa,3.65,10579.0,3450.23,Plot area 3450(320.52 sq.m.),6,6,2,3.0,North-West,Moderately New Property,,3450.0,,1,1,0,1,1,2,152
sector 108,flat,sobha city,4.1,23401.0,1752.0,Super Built up area 2344(217.76 sq.m.)Built Up area: 2343 sq.ft. (217.67 sq.m.)Carpet area: 1752 sq.ft. (162.77 sq.m.),4,5,3,25.0,North-East,New Property,2344.0,2343.0,1752.0,1,1,0,0,0,2,97
sector 70,flat,tulip ivory,2.0,8333.0,2400.0,Super Built up area 2400(222.97 sq.m.),4,5,3+,2.0,South-East,Relatively new property,2400.0,,,1,0,0,0,0,0,49
sector 69,flat,tulip violet,1.38,8972.0,1538.0,Carpet area: 1538 (142.88 sq.m.),3,3,1,12.0,West,Relatively new property,,,1538.0,0,0,0,0,0,1,174
sector 85,flat,ss the leaf,2.0,6578.0,3040.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,1.0,South-East,Relatively new property,2812.0,,,1,0,0,0,1,1,106
sector 109,flat,ats tourmaline,2.1,8123.0,2585.0,Super Built up area 2585(240.15 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.),3,4,3+,11.0,South-East,Relatively new property,2585.0,2100.0,,1,0,0,0,0,0,165
sector 108,house,independent,1.7,5666.0,3000.35,Built Up area: 3000 (278.71 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4,4,3+,1.0,North-East,Undefined,,3000.0,2600.0,0,0,0,0,0,1,0
dwarka expressway,flat,experion heartsong,1.08,6150.0,1756.0,Built Up area: 1758 (163.32 sq.m.),3,3,0,,Na,Under Construction,,1758.0,,0,0,0,0,0,1,0
sector 4,flat,"ganpati apartment  2, laxman vihar phase 1",0.45,4705.0,956.0,Carpet area: 850 (78.97 sq.m.),2,2,1,0.0,East,Relatively new property,,,850.0,0,0,0,0,0,1,46
sector 59,flat,mahindra luminare,5.5,18181.0,3025.0,Super Built up area 3025(281.03 sq.m.),3,3,1,26.0,Na,Under Construction,3025.0,,,1,0,0,0,0,1,24
sector 109,flat,ats tourmaline,1.75,8139.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,2.0,North,Relatively new property,2150.0,,,1,0,1,0,0,1,65
sector 79,flat,mapsko mount ville,1.55,8539.0,1815.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11.0,South-West,Relatively new property,1815.0,,1071.33,1,0,0,0,0,0,152
sector 85,flat,godrej air,1.35,13632.0,990.0,Carpet area: 92,2,2,3,19.0,Na,Under Construction,,,92.0,0,0,0,0,0,1,44
sector 81,flat,signature global synera,0.31,7434.0,417.0,Super Built up area 417(38.74 sq.m.)Carpet area: 320 sq.ft. (29.73 sq.m.),1,1,1,13.0,North,Relatively new property,417.0,,320.0,0,0,0,0,0,2,123
manesar,flat,sonata group housing gh 24,1.65,5892.0,2800.0,Carpet area: 2800 (260.13 sq.m.),4,3,3,8.0,Na,New Property,,,2800.0,1,0,0,0,0,1,20
sector 107,flat,signature global solera,0.36,5980.0,602.0,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2,2,1,7.0,North-West,Relatively new property,602.0,598.0,546.0,0,0,1,0,0,1,49
sector 109,house,international city by sobha phase 2,6.25,10035.0,6228.2,Plot area 692(578.6 sq.m.),5,7,3+,3.0,North-East,Relatively new property,,6228.0,,1,1,0,1,1,1,147
sector 70,flat,tulip ivory,5.0,10416.0,4800.0,Carpet area: 4800 (445.93 sq.m.),6,7,3+,0.0,Na,Relatively new property,,,4800.0,1,1,0,0,0,1,119
sector 79,flat,supertech araville,1.35,9000.0,1500.0,Super Built up area 1530(142.14 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,6.0,East,New Property,1530.0,1350.0,1200.0,0,1,1,0,0,0,88
sector 13,house,independent,0.45,4808.0,935.94,Built Up area: 936 (86.96 sq.m.),1,1,0,1.0,Na,Undefined,,936.0,,0,0,0,0,0,1,0
sector 47,house,independent,5.15,26615.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Relatively new property,,1935.0,,0,0,0,0,1,0,75
sector 26,house,independent,4.5,33333.0,1350.01,Plot area 150(125.42 sq.m.),3,3,2,2.0,West,Old Property,,1350.0,,0,0,0,1,0,0,58
sector 70,flat,shree vardhman victoria,1.15,8518.0,1350.0,Carpet area: 1350 (125.42 sq.m.),2,2,2,6.0,South-West,Relatively new property,,,1350.0,0,1,0,0,0,1,85
sector 65,flat,emaar mgf emerald floors premier,2.24,13575.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,2.0,North-West,Relatively new property,,,1650.0,1,1,0,0,0,1,46
sector 66,flat,emaar mgf the palm drive,2.8,16470.0,1700.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3,8.0,North-East,Relatively new property,1950.0,1920.0,1700.0,1,0,0,0,0,0,117
sector 82,flat,vatika independent floors,1.45,8056.0,1800.0,Built Up area: 1800 (167.23 sq.m.),4,3,0,1.0,Na,Undefined,,1800.0,,0,0,0,0,0,1,50
sector 109,house,international city by sobha phase 2,11.25,25000.0,4500.0,Plot area 500(418.06 sq.m.),7,5,3+,4.0,North-East,Relatively new property,,4500.0,,1,1,0,1,0,1,42
sector 108,flat,raheja vedaanta,0.85,4637.0,1833.0,Super Built up area 1833(170.29 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,2.0,North-East,Relatively new property,1833.0,1500.0,1350.0,1,0,0,0,0,1,65
sector 5,house,independent,3.75,11029.0,3400.13,Built Up area: 3400 (315.87 sq.m.)Carpet area: 1836 sq.ft. (170.57 sq.m.),5,5,3+,3.0,Na,Undefined,,3400.0,1836.0,0,0,0,0,0,1,0
sector 102,flat,shapoorji pallonji joyville gurugram,2.5,14000.0,1786.0,Super Built up area 1827(169.73 sq.m.),3,3,3,15.0,Na,Under Construction,1827.0,,,0,0,0,0,0,1,151
sector 54,house,emaar the palm springs,14.0,62222.0,2250.01,Plot area 250(209.03 sq.m.),4,5,3+,2.0,North,Old Property,,2250.0,,1,1,0,0,0,0,160
sector 2,house,palam vihar extension west zone rwa,0.65,5777.0,1125.15,Plot area 1125(104.52 sq.m.),2,2,1,1.0,North,Moderately New Property,,1125.0,,0,0,0,0,1,1,23
sector 4,house,independent,0.6,105263.0,57.0,Plot area 57(5.3 sq.m.),3,3,1,2.0,Na,Old Property,,57.0,,0,0,1,0,0,1,0
sector 81,flat,dlf the ultima,2.4,11257.0,2132.0,Super Built up area 2132(198.07 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,10.0,North-West,Relatively new property,2132.0,1800.0,1400.0,1,0,0,0,0,2,174
sector 83,flat,vatika emilia floors,0.65,6190.0,1050.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2,2,2,1.0,South,Relatively new property,1050.0,950.0,850.0,0,0,0,0,0,0,174
sector 2,house,independent,5.6,17284.0,3239.99,Plot area 360(301.01 sq.m.),8,6,3+,,South-West,Moderately New Property,,3240.0,,1,1,0,1,1,1,0
sector 84,flat,alpha corp gurgaonone,2.2,6406.0,3434.0,Super Built up area 3434(319.03 sq.m.),4,4,3+,15.0,South-West,Relatively new property,3434.0,,,1,0,0,0,0,1,97
sector 59,flat,conscient elevate,3.9,16993.0,2295.0,Built Up area: 2295 (213.21 sq.m.),3,1,0,0.0,Na,Undefined,,2295.0,,0,0,0,0,0,1,0
sector 37d,flat,signature global city,1.1,8800.0,1250.0,Carpet area: 1250 (116.13 sq.m.),3,3,3,1.0,Na,Under Construction,,,1250.0,0,0,0,0,0,1,16
sector 79,flat,mapsko mount ville,1.4,9395.0,1490.0,Carpet area: 1490 (138.43 sq.m.),3,3,3,2.0,North,New Property,,,1490.0,0,0,0,0,0,0,112
sector 78,flat,raheja revanta,0.99,6100.0,1623.0,Super Built up area 1621(150.6 sq.m.),2,2,3,14.0,East,Under Construction,1621.0,,,0,0,1,0,0,1,39
sector 7,house,independent,8.0,22222.0,3600.04,Plot area 400(334.45 sq.m.),4,5,3+,1.0,North-East,Old Property,,3600.0,,1,1,0,1,0,1,31
sector 77,flat,emaar mgf palm hills,1.65,8461.0,1950.0,Super Built up area 1950(181.16 sq.m.),4,3,3,9.0,South,Relatively new property,1950.0,,,1,0,0,0,0,1,100
sector 56,flat,the lions cghs,2.05,7884.0,2600.0,Built Up area: 2600 (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3+,7.0,West,Old Property,,2600.0,2400.0,0,0,0,0,1,0,120
sector 25,house,independent,10.85,38150.0,2844.04,Plot area 316(264.22 sq.m.),6,6,1,3.0,North-East,Relatively new property,,2844.0,,0,0,0,0,1,0,136
sector 49,flat,satya element one,0.94,14009.0,671.0,Carpet area: 671 (62.34 sq.m.),1,2,2,2.0,East,Undefined,,,671.0,0,0,0,0,0,1,0
sector 102,flat,adani m2k oyster grande,2.4,9305.0,2579.0,Super Built up area 2579(239.6 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,4,3+,3.0,North-East,Relatively new property,2579.0,,2100.0,0,1,0,0,0,0,49
new,flat,sare homes,0.85,4786.0,1776.0,Super Built up area 1776(165 sq.m.),4,4,3,3.0,Na,Moderately New Property,1776.0,,,0,0,0,0,0,1,0
sector 86,flat,dlf the skycourt,2.2,11500.0,1913.0,Super Built up area 1930(179.3 sq.m.),3,3,1,7.0,Na,Relatively new property,1930.0,,,0,0,0,1,0,2,77
sector 81,flat,dlf the ultima,2.35,11233.0,2092.0,Super Built up area 2092(194.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,3+,18.0,North,Relatively new property,2092.0,,1100.0,1,0,0,0,0,1,106
sector 89,flat,smart world gems,0.9,8159.0,1103.0,Super Built up area 1103(102.47 sq.m.),2,2,2,3.0,Na,New Property,1103.0,,,0,1,1,0,0,1,95
sector 63a,flat,birla navya,2.2,17488.0,1258.0,Super Built up area 1258(116.87 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),2,3,3+,4.0,Na,Under Construction,1258.0,,770.0,0,0,0,0,0,1,60
sector 74,flat,m3m skywalk,2.7,13379.0,2018.0,Super Built up area 2018(187.48 sq.m.),3,3,3,13.0,Na,New Property,2018.0,,,0,0,0,0,1,1,92
sector 37c,flat,proxima tower,0.6,4602.0,1304.0,Super Built up area 1304(121.15 sq.m.),2,2,3,5.0,Na,Under Construction,1304.0,,,0,1,0,1,0,1,55
sector 23,house,independent,2.9,11600.0,2500.0,Plot area 2500(232.26 sq.m.),4,4,3,2.0,Na,Relatively new property,,2500.0,,1,0,0,0,0,0,43
sector 56,house,independent,11.95,43534.0,2744.98,Plot area 305(255.02 sq.m.),12,12,3+,4.0,West,Relatively new property,,2745.0,,1,0,0,0,0,0,21
sector 24,house,independent,3.25,30384.0,1069.64,Plot area 1069.63(99.37 sq.m.),4,4,3,3.0,Na,Old Property,,1069.63,,0,0,0,0,0,1,15
sector 17,house,iffco nagar and 17b rwa,3.5,24305.0,1440.03,Plot area 1440(133.78 sq.m.),6,5,3,3.0,East,Old Property,,1440.0,,0,0,0,0,0,1,44
sector 33,flat,godrej nature plus,1.25,9025.0,1385.0,Built Up area: 1385 (128.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,17.0,Na,Undefined,,1385.0,1000.0,0,0,0,0,0,1,56
sector 37c,flat,corona optus,1.43,7185.0,1990.0,Super Built up area 1990(184.88 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,2.0,North-West,Relatively new property,1990.0,,1700.0,1,1,1,0,0,1,49
sector 83,flat,emaar palm gardens,1.8,9473.0,1900.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,6.0,South,Relatively new property,1900.0,,1240.04,1,0,0,0,0,0,97
sohna road,flat,gls arawali homes,0.3,5291.0,567.0,Built Up area: 567 (52.68 sq.m.),2,2,0,10.0,Na,Undefined,,567.0,,0,0,0,0,0,1,0
sector 37c,flat,imperia the esfera,0.87,5513.0,1578.0,Super Built up area 1578(146.6 sq.m.),2,3,3+,9.0,North-East,New Property,1578.0,,,0,1,0,0,0,1,49
sector 77,flat,emaar mgf palm hills,1.55,7948.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1702 sq.ft. (158.12 sq.m.),4,4,3+,2.0,North-East,Relatively new property,1950.0,1800.0,1702.0,1,1,0,0,0,2,49
sector 4,house,independent,0.8,11852.0,674.99,Plot area 75(62.71 sq.m.),5,3,1,2.0,Na,Moderately New Property,,675.0,,0,0,0,0,0,1,0
sector 106,flat,viridian the plaza 106,0.39,5571.0,700.0,Super Built up area 700(65.03 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),1,1,1,7.0,East,Relatively new property,700.0,,450.0,0,0,0,0,0,1,130
sector 85,flat,ss the leaf,2.0,8305.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,East,Relatively new property,2408.0,,,1,0,0,0,0,1,21
sector 82a,flat,dlf the primus,1.85,10176.0,1818.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3,15.0,East,Moderately New Property,1818.0,,1538.0,0,0,1,0,0,1,38
sector 108,flat,experion the heartsong,2.08,9904.0,2100.0,Built Up area: 2631 (244.43 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,3+,3.0,East,Relatively new property,,2631.0,2100.0,1,0,0,0,0,1,126
