,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
3308,sector 86,flat,pyramid urban homes 2,0.42,8485.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,2.0,North-East,New Property,,,501.0,1,1,1,1,0,1,84,247.5
3314,sector 105,house,independent,0.65,9028.0,719.98,Plot area 80(66.89 sq.m.),3,2,1,1.0,East,Relatively new property,,720.0,,0,0,1,1,0,1,14,239.99333333333334
3331,sector 7,house,madan puri,0.75,12500.0,600.0,Plot area 600(55.74 sq.m.),3,5,3,3.0,South-East,Moderately New Property,,600.0,,0,0,0,0,0,1,0,200.0
3341,sector 24,house,independent,3.5,32407.0,1080.01,Plot area 120(100.34 sq.m.),5,4,3,3.0,North-West,Old Property,,1080.0,,0,0,0,0,0,1,15,216.002
3368,sector 84,flat,pivotal devaan,0.35,7277.0,481.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10.0,West,Relatively new property,583.0,,481.0,0,0,0,0,1,1,103,240.5
3369,sector 6,house,surendra homes dayaindependentd colony,0.75,15625.0,480.0,Built Up area: 480 (44.59 sq.m.),4,4,2,1.0,Na,Undefined,,480.0,,0,0,0,0,0,1,0,120.0
3370,sector 8,house,independent,0.82,9111.0,900.01,Plot area 100(83.61 sq.m.),4,3,3,2.0,North,Moderately New Property,,900.0,,0,0,0,0,0,1,12,225.0025
3399,sector 11,house,independent,2.1,17284.0,1215.0,Plot area 135(112.88 sq.m.),6,6,3+,3.0,Na,Relatively new property,,1215.0,,0,0,0,0,0,1,14,202.5
3419,sector 84,flat,pivotal devaan,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,1,1.0,East,Relatively new property,,,483.0,0,0,0,0,1,0,84,241.5
3447,sohna road road,house,independent,0.95,8920.0,1065.02,Plot area 1065(98.94 sq.m.),10,10,3+,3.0,Na,New Property,,1065.0,,0,0,0,0,0,1,0,106.502
3450,sector 55,house,independent,5.0,44444.0,1125.01,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5.0,East,New Property,,115.0,100.0,0,0,1,0,0,0,44,125.00111111111111
3480,sector 49,house,uppal southend,3.75,25562.0,1467.02,Built Up area: 163 (136.29 sq.m.),6,6,3+,3.0,East,Moderately New Property,,163.0,,0,1,0,0,0,0,26,244.50333333333333
3531,sector 4,house,huda ashok vihar phase,0.7,10233.0,684.06,Plot area 684(63.55 sq.m.),3,2,1,2.0,North-East,New Property,,684.0,,0,1,0,0,0,1,7,228.01999999999998
3539,sector 4,house,not applicable,0.75,11718.0,640.04,Plot area 640(59.46 sq.m.),5,4,3,2.0,Na,Moderately New Property,,640.0,,0,0,0,0,0,1,0,128.00799999999998
3558,sector 26,house,independent,6.0,33333.0,1800.02,Plot area 200(167.23 sq.m.),8,5,3+,3.0,Na,Old Property,,1800.0,,0,0,0,0,0,0,9,225.0025
3579,sector 2,house,independent,1.0,8230.0,1215.07,Plot area 135(112.88 sq.m.),9,7,3+,3.0,North,Moderately New Property,,1215.0,,0,0,0,1,0,1,0,135.00777777777776
3636,sector 3,house,independent,0.92,15257.0,603.0,Built Up area: 603 (56.02 sq.m.),4,1,0,1.0,Na,Undefined,,603.0,,0,0,0,0,0,1,0,150.75
3675,manesar,house,independent,0.8,6666.0,1200.12,Plot area 1200(111.48 sq.m.),8,8,2,1.0,Na,Relatively new property,,1200.0,,0,0,0,0,0,1,0,150.015
3679,sector 6,house,independent,0.5,8333.0,600.02,Plot area 600(55.74 sq.m.),3,3,2,2.0,East,Moderately New Property,,600.0,,0,0,0,1,0,1,0,200.00666666666666
3707,sector 104,house,independent,0.6,5128.0,1170.05,Plot area 130(108.7 sq.m.),7,3,1,2.0,North,Moderately New Property,,1170.0,,0,0,0,0,0,1,0,167.15
3717,sector 63a,flat,czar mahira homes 63a,0.42,7407.0,567.0,Carpet area: 567 (52.68 sq.m.),3,2,2,1.0,Na,Undefined,,,567.0,0,0,0,0,0,1,0,189.0
3757,sector 9,house,independent,0.42,9333.0,450.02,Built Up area: 450 (41.81 sq.m.),5,3,2,2.0,Na,Undefined,,450.0,,0,0,0,0,0,1,0,90.00399999999999
3768,sector 4,house,independent,0.65,11111.0,585.01,Plot area 65(54.35 sq.m.),4,2,2,,Na,Moderately New Property,,585.0,,0,0,0,0,0,1,0,146.2525
3779,sohna road,flat,mvn athens,0.25,5187.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,0.0,North,Relatively new property,,,481.684525,0,0,0,1,0,1,90,241.0
3790,sector 11,house,independent,0.9,10000.0,900.0,Plot area 900(83.61 sq.m.),7,4,3+,4.0,Na,Moderately New Property,,900.0,,0,0,0,0,0,1,7,128.57142857142858
