sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 95,flat,0.38,3,2,1,Low floor,Relatively new property,716.0,0,0,0,Medium
sector 102,flat,1.45,3,3,3,Mid floor,Relatively new property,1315.0,1,0,1,High
sector 25,house,9.0,10,10,3,Mid floor,Old Property,3159.0,0,0,0,Medium
sohna road,flat,0.88,2,2,2,High floor,Relatively new property,1016.0,0,0,2,Medium
sector 65,flat,3.0,3,3,3,High floor,Under Construction,1828.0,0,0,1,Medium
sector 39,flat,2.0,3,3,3+,Low floor,Old Property,2400.0,0,0,1,Low
sector 5,house,3.5,5,4,2,Low floor,Old Property,2367.0,0,0,1,Low
sector 57,house,7.25,9,9,3+,Low floor,New Property,2700.0,1,0,0,Low
sector 81,flat,0.9,2,2,3,Mid floor,New Property,1231.0,0,0,1,Medium
sector 81,flat,2.35,3,4,3+,Mid floor,Relatively new property,2513.0,1,0,0,Medium
sector 48,house,7.69,4,5,3,Low floor,Moderately New Property,3195.0,1,1,0,Medium
sector 89,flat,0.25,1,1,1,Mid floor,New Property,430.0,0,0,1,Medium
sector 7,house,2.25,3,3,2,Low floor,Old Property,1440.0,0,0,0,Low
sector 113,flat,2.37,4,4,3+,High floor,Under Construction,2060.0,0,0,1,Medium
sector 104,house,0.48,2,2,1,Low floor,New Property,795.0,0,0,1,Low
sector 107,flat,0.28,2,2,2,Low floor,Relatively new property,543.0,0,0,1,Low
sector 109,flat,1.38,3,3,1,Mid floor,Moderately New Property,2419.0,0,0,1,Low
sector 79,flat,1.28,3,3,3,High floor,Relatively new property,1265.0,0,0,0,Medium
sector 56,flat,0.65,1,1,1,Low floor,Moderately New Property,839.0,0,0,1,Medium
sohna road,flat,0.54,2,1,3,Low floor,New Property,828.0,0,0,1,Medium
sector 37d,flat,1.02,3,2,3,High floor,Under Construction,1538.0,0,0,1,Low
sector 48,flat,1.86,3,3,3+,Mid floor,Moderately New Property,2199.0,1,0,0,Medium
sector 86,flat,1.72,3,3,1,Mid floor,Relatively new property,1746.0,0,0,0,Low
sector 72,flat,4.1,4,5,3+,High floor,New Property,2629.0,1,0,1,Medium
