sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 25,flat,dlf beverly park,8.0,15385.0,5200.0,Carpet area: 5200 (483.1 sq.m.),5,5,3+,2.0,North-East,Old Property,,,5200.0,1,1,1,1,0,2,26,1040.0
sector 60,flat,ireo skyon,2.15,23344.0,921.0,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2,3,2,5.0,East,Relatively new property,1524.0,1250.0,921.0,1,0,0,0,0,0,49,460.5
sector 47,house,independent,0.99,17187.0,576.02,Plot area 64(53.51 sq.m.),1,4,3,4.0,Na,Relatively new property,,576.0,,0,0,0,0,0,1,13,576.02
sector 37d,flat,ramprastha skyz,1.0,4943.0,2023.0,Super Built up area 2025(188.13 sq.m.),3,5,3,11.0,Na,Under Construction,2025.0,,,1,0,1,0,0,1,8,674.3333333333334
sector 92,flat,sare homes,1.25,6200.0,2016.0,Built Up area: 2040 (189.52 sq.m.),4,3,0,16.0,Na,Under Construction,,2040.0,,0,0,0,0,0,1,49,504.0
sector 4,house,independent,0.92,15257.0,603.0,Plot area 67(56.02 sq.m.),1,4,3,4.0,East,Moderately New Property,,603.0,,0,0,1,0,0,1,0,603.0
sector 65,flat,emaar mgf emerald estate,1.75,12545.0,1395.0,Super Built up area 1395(129.6 sq.m.)Carpet area: 809 sq.ft. (75.16 sq.m.),3,3,3,10.0,North-East,Relatively new property,1395.0,,809.0,1,0,0,0,0,0,124,465.0
sector 48,house,vipul tatvam villa,8.25,38194.0,2160.03,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4,4,3+,3.0,North-East,Relatively new property,,300.0,240.0,1,0,0,0,1,0,160,540.0075
sector 79,flat,godrej,1.91,8512.0,2244.0,Super Built up area 2244(208.47 sq.m.),3,4,3+,7.0,North-East,Relatively new property,2244.0,,,1,0,0,0,0,1,158,748.0
sector 51,flat,citizen apartment,3.55,6826.0,5201.0,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4700 sq.ft. (436.64 sq.m.),5,6,3+,11.0,North,Moderately New Property,,5200.0,4700.0,1,1,0,1,1,0,157,1040.2
